pre3change,curChange,nextChange
-0.030589999999999895,0.00053999999999998494,-1
-0.0088899999999998425,-0.015300000000000091,1
-0.014760000000000106,0.0070999999999998842,-1
-0.0082000000000002071,-0.00035999999999991594,-1
0.0067399999999999682,-0.011549999999999949,-1
-0.011909999999999865,-0.0079299999999999926,1
-0.019479999999999942,0.0059000000000000163,1
-0.0020299999999999763,0.010299999999999976,1
0.016199999999999992,0.0029900000000000482,1
0.013290000000000024,0.0055600000000000094,-1
0.0085500000000000576,-0.014140000000000263,-1
-0.0085800000000002541,-0.021439999999999904,-1
-0.035580000000000167,-0.0027699999999999392,-1
-0.024209999999999843,-0.0018400000000000638,-1
-0.004610000000000003,-0.0092599999999998239,-1
-0.011099999999999888,-0.00096000000000007191,-1
-0.010219999999999896,-0.013710000000000111,-1
-0.014670000000000183,-0.010459999999999914,1
-0.024170000000000025,0.012880000000000003,1
0.0024200000000000887,0.0087299999999999045,1
0.021609999999999907,0.019910000000000094,1
0.028639999999999999,0.00022999999999995246,-1
0.020140000000000047,-0.012450000000000072,-1
-0.01222000000000012,-0.0040100000000000691,-1
-0.016460000000000141,-3.9999999999817959e-05,-1
-0.004049999999999887,-0.00075000000000002842,-1
-0.00078999999999984638,-0.0012799999999999478,-1
-0.0020299999999999763,-0.0031000000000001027,1
-0.0043800000000000505,0.019730000000000025,-1
0.016629999999999923,-0.0037300000000000111,-1
0.016000000000000014,-0.013279999999999959,1
-0.01700999999999997,0.0014799999999999258,-1
-0.011800000000000033,-0.0054399999999998894,-1
-0.0039599999999999635,-0.0021499999999998742,-1
-0.0075899999999997636,-0.004610000000000225,-1
-0.0067600000000000993,-0.0026299999999999102,1
-0.0072400000000001352,0.0023800000000000487,1
-0.00024999999999986144,0.00086000000000008292,-1
0.0032400000000001317,-0.00071000000000021046,-1
0.00014999999999987246,-0.0037300000000000111,1
-0.0044400000000002215,0.010970000000000146,-1
0.0072400000000001352,-0.010280000000000067,1
0.00069000000000007944,0.013809999999999878,1
0.0035299999999998111,0.0077400000000000801,1
0.021549999999999958,0.008979999999999988,-1
0.016720000000000068,-0.0034499999999999531,-1
0.0055300000000000349,-2.9999999999974492e-05,-1
-0.0034799999999999276,-0.0037499999999999201,-1
-0.0037799999999998946,-0.016260000000000163,-1
-0.020010000000000083,-0.017619999999999969,-1
-0.033880000000000132,-0.0070699999999999097,-1
-0.024689999999999879,-0.0013600000000000279,1
-0.0084299999999999375,0.0068699999999999317,1
0.0055099999999999039,0.0018299999999999983,1
0.00869999999999993,0.014399999999999968,1
0.016229999999999967,0.022440000000000015,1
0.036839999999999984,0.0022100000000000453,1
0.024650000000000061,0.00060999999999999943,-1
0.0028200000000000447,-0.0098099999999998744,1
-0.0091999999999998749,0.0097199999999997289,1
-9.0000000000145519e-05,0.0073600000000000332,1
0.017079999999999762,0.0014300000000002644,1
0.0087900000000002976,0.014789999999999859,1
0.016220000000000123,0.00051000000000001044,1
0.015299999999999869,0.0023800000000000487,1
0.0028900000000000592,0.004210000000000047,1
0.0065900000000000958,0.0024999999999999467,1
0.0067099999999999937,0.0012799999999999478,-1
0.0037799999999998946,-0.011419999999999986,-1
-0.010140000000000038,-0.0036599999999999966,1
-0.015079999999999982,0.01415999999999995,1
0.010499999999999954,0.011509999999999909,-1
0.02566999999999986,-0.0012299999999998423,-1
0.010280000000000067,-0.019300000000000095,-1
-0.020529999999999937,-0.0036399999999998656,-1
-0.02293999999999996,-0.0013900000000000023,1
-0.0050299999999998679,0.0019099999999998563,1
0.00051999999999985391,0.0033000000000000806,1
0.0052099999999999369,0.0093999999999998529,-1
0.012699999999999934,-0.011609999999999898,-1
-0.0022100000000000453,-0.0055999999999998273,-1
-0.017209999999999726,-0.0035200000000001896,-1
-0.009120000000000017,-0.0032499999999999751,1
-0.0067700000000001648,0.0018400000000000638,1
-0.0014099999999999113,0.0075999999999998291,1
0.0094399999999998929,0.004910000000000192,1
0.012510000000000021,0.0062499999999998668,1
0.011160000000000059,0.0026800000000000157,-1
0.0089299999999998825,-0.0031000000000001027,-1
-0.00042000000000008697,-0.00088999999999983537,1
-0.003989999999999938,0.0087899999999998535,1
0.0079000000000000181,0.0060200000000001364,-1
0.01480999999999999,-0.0067200000000000593,-1
-0.00069999999999992291,-0.0018799999999998818,1
-0.008599999999999941,0.0087099999999999955,-1
0.0068300000000001138,-0.0053100000000001479,1
0.0033999999999998476,0.0097300000000000164,1
0.0044199999999998685,0.0090900000000000425,1
0.018820000000000059,0.0028599999999998627,1
0.011949999999999905,0.00057000000000018147,-1
0.0034300000000000441,-0.0028299999999998882,-1
-0.0022599999999997067,-0.0067300000000001248,1
-0.0095600000000000129,0.0008799999999999919,-1
-0.0058500000000001329,-0.010270000000000001,1
-0.0093900000000000095,0.010140000000000038,1
-0.00012999999999996348,0.0032700000000001062,1
0.013410000000000144,0.0055699999999998528,-1
0.008839999999999959,-0.00048000000000003595,-1
0.0050899999999998169,-0.010210000000000052,1
-0.010690000000000088,0.014700000000000157,1
0.004490000000000105,0.014999999999999902,-1
0.02970000000000006,-0.0012299999999998423,1
0.01377000000000006,0.0047899999999998499,-1
0.0035600000000000076,-0.004809999999999981,-1
-2.0000000000131024e-05,-0.0063600000000001433,1
-0.011170000000000124,0.0064800000000002633,-1
0.00012000000000012001,-0.0081700000000002326,-1
-0.0016899999999999693,-0.0052699999999998859,1
-0.013440000000000119,0.003809999999999869,1
-0.0014600000000000168,0.004750000000000032,1
0.008559999999999901,0.00066000000000010495,1
0.0054100000000001369,0.0029500000000000082,1
0.0036100000000001131,0.0079100000000000836,-1
0.010860000000000092,-0.0001500000000000945,-1
0.0077599999999999891,-0.0028900000000000592,1
-0.0030400000000001537,0.0026200000000000667,1
-0.00026999999999999247,0.009279999999999955,-1
0.011900000000000022,-0.0026499999999998192,1
0.0066300000000001358,0.01843999999999979,-1
0.015789999999999971,-0.00021000000000004349,-1
0.018229999999999746,-0.0056899999999999729,1
-0.0059000000000000163,0.0059200000000001474,-1
0.00023000000000017451,-0.0030999999999998806,1
0.0028200000000002667,0.0050599999999998424,-1
0.0019599999999999618,-0.0072500000000002007,-1
-0.0021900000000003583,-0.0033099999999997021,-1
-0.010559999999999903,-0.015920000000000156,1
-0.019229999999999858,0.012720000000000065,1
-0.0032000000000000917,0.01532,1
0.028040000000000065,0.0040999999999999925,1
0.019419999999999993,9.9999999999988987e-05,1
0.0041999999999999815,0.0028999999999999027,-1
0.0029999999999998916,-0.0037599999999999856,1
-0.00086000000000008292,0.015370000000000106,1
0.01161000000000012,0.0082499999999998685,1
0.023619999999999974,0.0052799999999999514,-1
0.01352999999999982,-0.0034299999999998221,1
0.0018500000000001293,0.00095000000000000639,-1
-0.0024799999999998157,-0.0021400000000000308,1
-0.0011900000000000244,0.004250000000000087,-1
0.0021100000000000563,-0.0009900000000000464,-1
0.0032600000000000406,-0.026920000000000055,-1
-0.027910000000000101,-0.024340000000000028,1
-0.051260000000000083,0.0073300000000000587,-1
-0.01700999999999997,-0.0019500000000001183,1
0.0053799999999999404,0.0031600000000000517,-1
0.0012099999999999334,-0.019299999999999873,1
-0.016139999999999821,0.0022499999999998632,-1
-0.01705000000000001,-0.011139999999999928,-1
-0.0088900000000000645,-0.0051700000000001189,1
-0.016310000000000047,0.0078800000000001091,1
0.0027099999999999902,0.012150000000000105,-1
0.020030000000000214,-0.00083000000000010843,1
0.011319999999999997,0.0067500000000000338,-1
0.0059199999999999253,-0.01696999999999993,-1
-0.010219999999999896,-0.0039200000000001456,-1
-0.020890000000000075,-0.010320000000000107,1
-0.014240000000000252,0.0078400000000002912,-1
-0.0024799999999998157,-0.0022800000000002818,1
0.0055600000000000094,0.0074899999999999967,1
