Time,Price,BuySell,Volume
09:35:00,14.74,B,3000
09:35:06,14.73,S,2000
09:35:06,14.72,S,1500
09:35:06,14.72,S,2000
09:35:07,14.74,B,1000
09:35:07,14.74,B,3400
09:35:07,14.74,B,500
09:35:07,14.74,B,500
09:35:07,14.74,B,200
09:35:07,14.74,B,5000
09:35:07,14.74,B,200
09:35:07,14.74,B,300
09:35:11,14.74,S,2400
09:35:12,14.74,S,1000
09:35:13,14.74,S,300
09:35:16,14.74,S,700
09:35:17,14.74,S,2000
09:35:18,14.74,S,800
09:35:19,14.74,S,100
09:35:22,14.74,S,900
09:35:23,14.74,S,700
09:35:25,14.74,S,100
09:35:26,14.75,B,100
09:35:26,14.75,B,200
09:35:26,14.75,B,300
09:35:29,14.75,S,200
09:35:32,14.75,S,200
09:35:41,14.76,B,100
09:35:41,14.76,B,400
09:35:42,14.75,S,1300
09:35:42,14.75,S,300
09:35:42,14.75,S,8400
09:35:46,14.76,B,300
09:35:46,14.76,S,200
09:35:53,14.76,S,1500
09:35:53,14.76,S,1000
09:35:53,14.76,S,1000
09:35:53,14.75,S,1600
09:35:53,14.75,S,1000
09:35:53,14.75,S,300
09:35:53,14.75,S,5000
09:35:53,14.75,S,3000
09:35:53,14.75,S,1000
09:35:53,14.75,S,500
09:35:53,14.75,S,3000
09:35:53,14.75,S,800
09:35:53,14.75,S,5000
09:35:53,14.75,S,1000
09:35:53,14.74,S,900
09:35:53,14.74,S,8600
09:35:53,14.74,S,3300
09:35:53,14.74,S,500
09:35:53,14.74,S,1200
09:35:53,14.74,S,1000
09:35:53,14.74,B,2000
09:35:54,14.74,B,300
09:35:55,14.74,B,500
09:35:55,14.74,B,200
09:35:55,14.73,S,200
09:35:55,14.73,S,200
09:35:56,14.74,B,600
09:35:58,14.75,S,600
09:36:00,14.76,B,1400
09:36:03,14.76,S,100
09:36:03,14.77,B,100
09:36:08,14.76,S,500
09:36:08,14.75,S,300
09:36:13,14.75,S,100
09:36:16,14.76,B,500
09:36:16,14.75,S,600
09:36:19,14.76,B,500
09:36:20,14.76,B,3000
09:36:29,14.76,B,1500
09:36:29,14.76,B,200
09:36:29,14.76,B,300
09:36:45,14.76,B,700
09:36:45,14.76,B,1100
09:36:45,14.76,B,200
09:36:45,14.76,B,2200
09:36:45,14.76,B,100
09:36:45,14.76,B,600
09:36:58,14.76,S,500
09:37:03,14.76,S,2000
09:37:05,14.76,S,500
09:37:07,14.77,B,1000
09:37:08,14.77,B,500
09:37:11,14.76,S,1700
09:37:12,14.77,B,200
09:37:15,14.76,S,200
09:37:17,14.77,B,200
09:37:21,14.76,S,500
09:37:26,14.77,B,300
09:37:28,14.76,S,900
09:37:29,14.77,B,200
09:37:30,14.76,S,500
09:37:32,14.77,B,46200
09:37:32,14.77,B,100
09:37:32,14.77,B,1700
09:37:32,14.77,B,400
09:37:32,14.77,B,200
09:37:32,14.77,B,1000
09:37:32,14.77,B,82400
09:37:39,14.77,B,500
09:37:40,14.76,S,300
09:37:40,14.76,S,900
09:37:40,14.77,B,1100
09:37:43,14.76,S,100
09:37:44,14.77,B,500
09:37:55,14.77,B,2000
09:37:58,14.76,S,100
09:38:00,14.76,S,400
09:38:00,14.76,S,100
09:38:00,14.76,S,1500
09:38:01,14.76,S,1500
09:38:01,14.76,S,1000
09:38:01,14.76,S,100
09:38:01,14.76,S,3000
09:38:01,14.76,S,300
09:38:01,14.76,S,400
09:38:01,14.76,S,700
09:38:01,14.76,S,300
09:38:01,14.76,S,2000
09:38:01,14.76,S,300
09:38:04,14.75,S,500
09:38:04,14.75,S,200
09:38:05,14.76,B,1000
09:38:27,14.76,B,5000
09:38:30,14.75,S,300
09:38:30,14.75,S,100
09:38:30,14.75,S,1000
09:38:30,14.75,S,2000
09:38:30,14.75,S,500
09:38:30,14.75,S,1100
09:38:32,14.75,S,200
09:38:37,14.76,B,200
09:38:42,14.75,S,2000
09:38:43,14.75,S,100
09:38:46,14.75,S,100
09:38:47,14.76,B,100
09:38:52,14.76,B,800
09:38:53,14.76,B,1000
09:38:56,14.75,S,500
09:38:56,14.75,S,2000
09:38:56,14.75,S,2100
09:38:56,14.75,S,2000
09:38:56,14.75,S,1000
09:38:56,14.75,S,2000
09:38:56,14.75,S,500
09:38:56,14.75,S,1000
09:38:58,14.74,S,400
09:38:59,14.75,B,1000
09:39:00,14.75,B,400
09:39:02,14.75,B,1000
09:39:04,14.75,B,800
09:39:04,14.75,B,100
09:39:05,14.75,B,1000
09:39:06,14.75,B,2000
09:39:13,14.75,B,10000
09:39:20,14.75,B,35437
09:39:20,14.75,B,2100
09:39:20,14.75,B,3290
09:39:22,14.76,B,500
09:39:25,14.76,B,200
09:39:30,14.75,S,500
09:39:32,14.75,S,2000
09:39:34,14.75,S,500
09:39:35,14.76,B,1600
09:39:35,14.76,B,1100
09:39:35,14.76,B,200
09:39:35,14.76,B,700
09:39:35,14.76,B,400
09:39:35,14.76,B,200
09:39:35,14.76,B,900
09:39:35,14.76,B,4900
09:39:36,14.75,S,100
09:39:39,14.75,S,100
09:39:39,14.76,B,200
09:39:40,14.76,B,500
09:39:42,14.75,S,200
09:39:42,14.76,B,100
09:39:43,14.76,B,2000
09:39:45,14.76,B,1000
09:39:45,14.76,B,1300
09:39:45,14.76,B,300
09:39:45,14.76,B,500
09:39:45,14.76,B,200
09:39:45,14.77,B,1600
09:39:45,14.77,B,500
09:39:45,14.77,B,3200
09:39:45,14.77,B,5000
09:39:45,14.77,B,1000
09:39:45,14.77,B,2500
09:39:45,14.77,B,100
09:39:45,14.77,B,2500
09:39:46,14.77,S,100
09:39:46,14.77,S,300
09:40:12,14.78,B,100
09:40:14,14.78,B,100
09:40:14,14.78,B,100
09:40:19,14.78,B,500
09:40:20,14.77,S,10000
09:40:21,14.77,S,1000
09:40:21,14.78,B,500
09:40:22,14.77,S,100
09:40:29,14.77,S,5000
09:40:32,14.77,S,200
